                                                                                                                                                                                                                                         
{'loss': '5.549', 'grad_norm': '29.66', 'learning_rate': '0.0001626', 'epoch': '0.2442'}
{'loss': '5.203', 'grad_norm': '27.89', 'learning_rate': '0.0001644', 'epoch': '0.2469'}
{'loss': '5.253', 'grad_norm': '34.45', 'learning_rate': '0.0001662', 'epoch': '0.2496'}
{'loss': '4.045', 'grad_norm': '12.53', 'learning_rate': '0.000168', 'epoch': '0.2523'}
{'loss': '5.376', 'grad_norm': '57.53', 'learning_rate': '0.0001698', 'epoch': '0.255'}
{'loss': '4.702', 'grad_norm': '64.89', 'learning_rate': '0.0001716', 'epoch': '0.2578'}
{'loss': '3.543', 'grad_norm': '9.282', 'learning_rate': '0.0001734', 'epoch': '0.2605'}
{'loss': '2.749', 'grad_norm': '13.64', 'learning_rate': '0.0001752', 'epoch': '0.2632'}
{'loss': '3.286', 'grad_norm': '32.34', 'learning_rate': '0.000177', 'epoch': '0.2659'}
{'loss': '3.137', 'grad_norm': '29.53', 'learning_rate': '0.0001788', 'epoch': '0.2686'}
{'loss': '2.468', 'grad_norm': '42.25', 'learning_rate': '0.0001807', 'epoch': '0.2713'}
{'loss': '0.4575', 'grad_norm': '3.497', 'learning_rate': '0.0001825', 'epoch': '0.274'}
{'loss': '0.02639', 'grad_norm': '0.1935', 'learning_rate': '0.0001843', 'epoch': '0.2768'}
{'loss': '8.3', 'grad_norm': '68.51', 'learning_rate': '0.0001861', 'epoch': '0.2795'}
{'loss': '0.7015', 'grad_norm': '0.2309', 'learning_rate': '0.0001879', 'epoch': '0.2822'}
{'loss': '0.005791', 'grad_norm': '0.1959', 'learning_rate': '0.0001897', 'epoch': '0.2849'}
{'loss': '0.003995', 'grad_norm': '0.1268', 'learning_rate': '0.0001915', 'epoch': '0.2876'}
{'loss': '2.84', 'grad_norm': '0.1029', 'learning_rate': '0.0001933', 'epoch': '0.2903'}
{'loss': '0.002662', 'grad_norm': '0.1042', 'learning_rate': '0.0001951', 'epoch': '0.293'}
{'loss': '0.002253', 'grad_norm': '0.07944', 'learning_rate': '0.0001969', 'epoch': '0.2957'}
{'loss': '5.84', 'grad_norm': '68.41', 'learning_rate': '0.0001987', 'epoch': '0.2985'}
{'loss': '13.3', 'grad_norm': '101.5', 'learning_rate': '0.0001999', 'epoch': '0.3012'}
{'loss': '10.86', 'grad_norm': '64.52', 'learning_rate': '0.0001997', 'epoch': '0.3039'}
{'loss': '2.215', 'grad_norm': '10.81', 'learning_rate': '0.0001995', 'epoch': '0.3066'}
{'loss': '0.1904', 'grad_norm': '2.248', 'learning_rate': '0.0001993', 'epoch': '0.3093'}
{'loss': '0.03386', 'grad_norm': '0.1269', 'learning_rate': '0.0001991', 'epoch': '0.312'}
{'loss': '0.000987', 'grad_norm': '0.01123', 'learning_rate': '0.0001989', 'epoch': '0.3147'}
{'loss': '9.502e-05', 'grad_norm': '0.002224', 'learning_rate': '0.0001987', 'epoch': '0.3174'}
{'loss': '3.498e-05', 'grad_norm': '0.001032', 'learning_rate': '0.0001985', 'epoch': '0.3202'}
{'loss': '2.519e-05', 'grad_norm': '0.001281', 'learning_rate': '0.0001983', 'epoch': '0.3229'}
{'loss': '2.576e-05', 'grad_norm': '0.001361', 'learning_rate': '0.0001981', 'epoch': '0.3256'}
{'loss': '16.23', 'grad_norm': '69.34', 'learning_rate': '0.0001979', 'epoch': '0.3283'}
{'loss': '11.7', 'grad_norm': '98.98', 'learning_rate': '0.0001977', 'epoch': '0.331'}
{'loss': '7.858', 'grad_norm': '19.15', 'learning_rate': '0.0001975', 'epoch': '0.3337'}
{'loss': '5.277', 'grad_norm': '19.21', 'learning_rate': '0.0001973', 'epoch': '0.3364'}
{'loss': '4.574', 'grad_norm': '58.77', 'learning_rate': '0.0001971', 'epoch': '0.3392'}
{'loss': '3.673', 'grad_norm': '9.394', 'learning_rate': '0.0001969', 'epoch': '0.3419'}
{'loss': '2.447', 'grad_norm': '21.1', 'learning_rate': '0.0001967', 'epoch': '0.3446'}
{'loss': '3.002', 'grad_norm': '37.57', 'learning_rate': '0.0001965', 'epoch': '0.3473'}
{'loss': '4.466', 'grad_norm': '28.78', 'learning_rate': '0.0001963', 'epoch': '0.35'}
{'loss': '4.053', 'grad_norm': '11.05', 'learning_rate': '0.0001961', 'epoch': '0.3527'}
{'loss': '3.878', 'grad_norm': '5.461', 'learning_rate': '0.0001959', 'epoch': '0.3554'}
{'loss': '3.313', 'grad_norm': '42.25', 'learning_rate': '0.0001957', 'epoch': '0.3581'}
{'loss': '3.208', 'grad_norm': '18.07', 'learning_rate': '0.0001955', 'epoch': '0.3609'}
{'loss': '2.726', 'grad_norm': '44.63', 'learning_rate': '0.0001953', 'epoch': '0.3636'}
{'loss': '2.916', 'grad_norm': '3.661', 'learning_rate': '0.0001951', 'epoch': '0.3663'}
{'loss': '2.213', 'grad_norm': '73.77', 'learning_rate': '0.0001949', 'epoch': '0.369'}
{'loss': '2.675', 'grad_norm': '99.32', 'learning_rate': '0.0001947', 'epoch': '0.3717'}
{'loss': '4.987', 'grad_norm': '57.76', 'learning_rate': '0.0001945', 'epoch': '0.3744'}
{'loss': '3.614', 'grad_norm': '10.54', 'learning_rate': '0.0001943', 'epoch': '0.3771'}
{'loss': '3.75', 'grad_norm': '28.37', 'learning_rate': '0.0001941', 'epoch': '0.3799'}
{'loss': '6.748', 'grad_norm': '53.02', 'learning_rate': '0.0001939', 'epoch': '0.3826'}
{'loss': '4.787', 'grad_norm': '19.05', 'learning_rate': '0.0001937', 'epoch': '0.3853'}
{'loss': '4.79', 'grad_norm': '15.56', 'learning_rate': '0.0001935', 'epoch': '0.388'}
{'loss': '4.186', 'grad_norm': '71.6', 'learning_rate': '0.0001933', 'epoch': '0.3907'}
{'loss': '3.836', 'grad_norm': '32.69', 'learning_rate': '0.0001931', 'epoch': '0.3934'}
{'loss': '0.9801', 'grad_norm': '0.2014', 'learning_rate': '0.0001929', 'epoch': '0.3961'}
{'loss': '0.001812', 'grad_norm': '0.007561', 'learning_rate': '0.0001927', 'epoch': '0.3988'}
{'loss': '7.273', 'grad_norm': '75.24', 'learning_rate': '0.0001925', 'epoch': '0.4016'}
{'loss': '11.26', 'grad_norm': '79.48', 'learning_rate': '0.0001923', 'epoch': '0.4043'}
{'loss': '3.689', 'grad_norm': '26.05', 'learning_rate': '0.0001921', 'epoch': '0.407'}
{'loss': '4.061', 'grad_norm': '43.72', 'learning_rate': '0.0001919', 'epoch': '0.4097'}
