                                                                                                                                                                                                                                         
{'loss': '3.35', 'grad_norm': '56.61', 'learning_rate': '0.0001574', 'epoch': '0.8772'}
{'loss': '3.75', 'grad_norm': '83', 'learning_rate': '0.0001566', 'epoch': '0.8876'}
{'loss': '4.411', 'grad_norm': '55.82', 'learning_rate': '0.0001558', 'epoch': '0.8981'}
{'loss': '3.891', 'grad_norm': '90.72', 'learning_rate': '0.0001551', 'epoch': '0.9085'}
{'loss': '3.909', 'grad_norm': '38.2', 'learning_rate': '0.0001543', 'epoch': '0.9189'}
{'loss': '4.229', 'grad_norm': '61.68', 'learning_rate': '0.0001535', 'epoch': '0.9294'}
{'loss': '4.689', 'grad_norm': '61.51', 'learning_rate': '0.0001527', 'epoch': '0.9398'}
{'loss': '3.937', 'grad_norm': '34.85', 'learning_rate': '0.000152', 'epoch': '0.9503'}
{'loss': '3.891', 'grad_norm': '117.5', 'learning_rate': '0.0001512', 'epoch': '0.9607'}
{'loss': '4.424', 'grad_norm': '69.12', 'learning_rate': '0.0001504', 'epoch': '0.9712'}
{'loss': '5.527', 'grad_norm': '76.75', 'learning_rate': '0.0001497', 'epoch': '0.9816'}
{'loss': '3.347', 'grad_norm': '80.39', 'learning_rate': '0.0001489', 'epoch': '0.992'}
                                                                                                                                                                                                                                         
{'eval_loss': '0.4964', 'eval_accuracy': '0.6945', 'eval_precision': '0.243', 'eval_recall': '0.8646', 'eval_f1': '0.3794', 'eval_tn': 7854, 'eval_fp': 3800, 'eval_fn': 191, 'eval_tp': 1220, 'eval_runtime': '633.6', 'eval_samples_per_second': '20.62', 'eval_steps_per_second': '5.156', 'epoch': '1'}
{'loss': '4.782', 'grad_norm': '51.5', 'learning_rate': '0.0001481', 'epoch': '1.002'}
{'loss': '4.146', 'grad_norm': '80.31', 'learning_rate': '0.0001473', 'epoch': '1.013'}
{'loss': '3.222', 'grad_norm': '40', 'learning_rate': '0.0001466', 'epoch': '1.023'}
{'loss': '7.004', 'grad_norm': '137.4', 'learning_rate': '0.0001458', 'epoch': '1.033'}
{'loss': '5.266', 'grad_norm': '8.767', 'learning_rate': '0.000145', 'epoch': '1.044'}
{'loss': '2.544', 'grad_norm': '6.272', 'learning_rate': '0.0001442', 'epoch': '1.054'}
{'loss': '2.82', 'grad_norm': '35.65', 'learning_rate': '0.0001435', 'epoch': '1.065'}
{'loss': '2.574', 'grad_norm': '19.82', 'learning_rate': '0.0001427', 'epoch': '1.075'}
{'loss': '2.823', 'grad_norm': '36.84', 'learning_rate': '0.0001419', 'epoch': '1.086'}
{'loss': '3.507', 'grad_norm': '11.31', 'learning_rate': '0.0001411', 'epoch': '1.096'}
{'loss': '2.334', 'grad_norm': '10.81', 'learning_rate': '0.0001404', 'epoch': '1.107'}
{'loss': '3.328', 'grad_norm': '51.04', 'learning_rate': '0.0001396', 'epoch': '1.117'}
{'loss': '5.096', 'grad_norm': '34.81', 'learning_rate': '0.0001388', 'epoch': '1.127'}
{'loss': '5.123', 'grad_norm': '14.41', 'learning_rate': '0.0001381', 'epoch': '1.138'}
{'loss': '3.93', 'grad_norm': '46.58', 'learning_rate': '0.0001373', 'epoch': '1.148'}
{'loss': '3.022', 'grad_norm': '33.11', 'learning_rate': '0.0001365', 'epoch': '1.159'}
{'loss': '2.742', 'grad_norm': '9.475', 'learning_rate': '0.0001357', 'epoch': '1.169'}
{'loss': '4.031', 'grad_norm': '32.19', 'learning_rate': '0.000135', 'epoch': '1.18'}
{'loss': '2.563', 'grad_norm': '23.09', 'learning_rate': '0.0001342', 'epoch': '1.19'}
{'loss': '5.716', 'grad_norm': '47.26', 'learning_rate': '0.0001334', 'epoch': '1.2'}
{'loss': '3.932', 'grad_norm': '90.35', 'learning_rate': '0.0001326', 'epoch': '1.211'}
{'loss': '2.78', 'grad_norm': '4.738', 'learning_rate': '0.0001319', 'epoch': '1.221'}
{'loss': '2.816', 'grad_norm': '37.38', 'learning_rate': '0.0001311', 'epoch': '1.232'}
{'loss': '4.218', 'grad_norm': '61.16', 'learning_rate': '0.0001303', 'epoch': '1.242'}
{'loss': '3.433', 'grad_norm': '7.945', 'learning_rate': '0.0001295', 'epoch': '1.253'}
{'loss': '3.381', 'grad_norm': '35.93', 'learning_rate': '0.0001288', 'epoch': '1.263'}
{'loss': '3.829', 'grad_norm': '69.65', 'learning_rate': '0.000128', 'epoch': '1.274'}
{'loss': '4.529', 'grad_norm': '11.92', 'learning_rate': '0.0001272', 'epoch': '1.284'}
{'loss': '4.679', 'grad_norm': '73.26', 'learning_rate': '0.0001265', 'epoch': '1.294'}
{'loss': '2.279', 'grad_norm': '12.42', 'learning_rate': '0.0001257', 'epoch': '1.305'}
{'loss': '1.211', 'grad_norm': '48.82', 'learning_rate': '0.0001249', 'epoch': '1.315'}
{'loss': '9.883', 'grad_norm': '175.7', 'learning_rate': '0.0001241', 'epoch': '1.326'}
{'loss': '10.46', 'grad_norm': '95.81', 'learning_rate': '0.0001234', 'epoch': '1.336'}
{'loss': '3.412', 'grad_norm': '5.996', 'learning_rate': '0.0001226', 'epoch': '1.347'}
{'loss': '3.794', 'grad_norm': '71.58', 'learning_rate': '0.0001218', 'epoch': '1.357'}
{'loss': '3.521', 'grad_norm': '16.18', 'learning_rate': '0.000121', 'epoch': '1.368'}
{'loss': '2.529', 'grad_norm': '9.939', 'learning_rate': '0.0001203', 'epoch': '1.378'}
{'loss': '3.419', 'grad_norm': '45.59', 'learning_rate': '0.0001195', 'epoch': '1.388'}
{'loss': '2.886', 'grad_norm': '6.498', 'learning_rate': '0.0001187', 'epoch': '1.399'}
{'loss': '2.609', 'grad_norm': '14.93', 'learning_rate': '0.0001179', 'epoch': '1.409'}
{'loss': '2.515', 'grad_norm': '6.767', 'learning_rate': '0.0001172', 'epoch': '1.42'}
{'loss': '2.475', 'grad_norm': '42.81', 'learning_rate': '0.0001164', 'epoch': '1.43'}
{'loss': '3.879', 'grad_norm': '39.26', 'learning_rate': '0.0001156', 'epoch': '1.441'}
{'loss': '3.717', 'grad_norm': '11.57', 'learning_rate': '0.0001148', 'epoch': '1.451'}
{'loss': '3.528', 'grad_norm': '8.577', 'learning_rate': '0.0001141', 'epoch': '1.462'}
{'loss': '3.215', 'grad_norm': '12.54', 'learning_rate': '0.0001133', 'epoch': '1.472'}
{'loss': '3.2', 'grad_norm': '54.37', 'learning_rate': '0.0001125', 'epoch': '1.482'}
{'loss': '2.746', 'grad_norm': '58.46', 'learning_rate': '0.0001118', 'epoch': '1.493'}
{'loss': '3.265', 'grad_norm': '36.82', 'learning_rate': '0.000111', 'epoch': '1.503'}
{'loss': '3.835', 'grad_norm': '28.8', 'learning_rate': '0.0001102', 'epoch': '1.514'}
{'loss': '2.984', 'grad_norm': '11.84', 'learning_rate': '0.0001094', 'epoch': '1.524'}
{'loss': '3.153', 'grad_norm': '34.79', 'learning_rate': '0.0001087', 'epoch': '1.535'}
{'loss': '2.574', 'grad_norm': '16.32', 'learning_rate': '0.0001079', 'epoch': '1.545'}
{'loss': '1.624', 'grad_norm': '50.63', 'learning_rate': '0.0001071', 'epoch': '1.556'}
{'loss': '3.116', 'grad_norm': '63.05', 'learning_rate': '0.0001063', 'epoch': '1.566'}
{'loss': '3.029', 'grad_norm': '33.68', 'learning_rate': '0.0001056', 'epoch': '1.576'}
{'loss': '1.618', 'grad_norm': '13.48', 'learning_rate': '0.0001048', 'epoch': '1.587'}
{'loss': '2.075', 'grad_norm': '13.96', 'learning_rate': '0.000104', 'epoch': '1.597'}
{'loss': '3.057', 'grad_norm': '13.12', 'learning_rate': '0.0001032', 'epoch': '1.608'}
